     SegSize          Avg          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20         42.3         41.1         41.2         41.3         41.4         41.6         41.8         42.1         42.5         42.9         44.6         46.5
          40         33.9         23.9         24.0         24.1         24.2         24.4         41.6         42.7         43.1         43.4         43.9         45.8
          60         30.9         24.0         24.0         24.1         24.2         24.4         24.7         42.5         43.1         43.3         43.7         44.9
          80         29.5         24.0         24.1         24.2         24.3         24.4         24.7         42.1         43.0         43.3         43.6         44.2
         100         28.7         24.1         24.1         24.2         24.3         24.5         24.8         25.3         43.2         43.5         43.9         44.2
         120         28.2         24.1         24.1         24.2         24.3         24.6         24.9         25.4         43.3         43.7         44.0         44.4
         140         28.2         24.1         24.1         24.2         24.4         24.6         24.9         25.4         43.3         43.7         44.0         44.4
         160         27.7         24.0         24.1         24.2         24.3         24.6         24.9         25.3         43.2         43.5         43.8         44.1
         180         27.5         24.1         24.1         24.2         24.4         24.7         25.0         25.5         43.3         43.8         44.2         44.4
         200         27.4         24.1         24.2         24.3         24.4         24.8         25.2         25.6         43.5         44.0         44.3         44.6
         220         27.4         24.1         24.2         24.3         24.5         24.8         25.3         25.8         43.5         44.2         44.6         44.9
         240         27.4         24.2         24.3         24.4         24.5         24.9         25.5         26.0         28.1         44.5         45.0         45.3
         260         27.4         24.2         24.3         24.4         24.5         24.9         25.4         26.0         28.3         44.5         44.9         45.2
         280         27.2         24.1         24.2         24.3         24.5         24.8         25.4         26.1         26.9         44.5         44.9         45.1
         300         27.2         24.2         24.2         24.4         24.5         24.9         25.6         26.2         26.9         44.6         45.0         45.3
         320         27.2         24.2         24.3         24.4         24.6         25.0         25.7         26.4         27.0         44.7         45.1         45.4
         340         27.2         24.2         24.3         24.4         24.6         25.0         25.7         26.4         27.1         44.7         45.2         45.5
         360         27.2         24.2         24.3         24.4         24.6         25.1         25.8         26.5         27.1         44.9         45.4         45.7
         380         27.2         24.2         24.3         24.4         24.6         25.0         25.8         26.5         27.1         44.9         45.3         45.6
         400         27.2         24.2         24.3         24.5         24.7         25.1         25.9         26.7         27.3         45.1         45.6         45.9
         420         27.3         24.2         24.3         24.5         24.7         25.2         26.0         26.8         27.5         45.2         45.8         46.1
         440         27.3         24.2         24.3         24.5         24.7         25.2         26.1         27.0         27.7         45.2         46.0         46.3
         460         27.4         24.3         24.4         24.6         24.8         25.3         26.3         27.2         27.8         45.4         46.2         46.5
         480         27.5         24.4         24.5         24.6         24.8         25.4         26.3         27.4         28.1         34.8         46.5         46.8
         500         27.4         24.3         24.4         24.6         24.8         25.4         26.3         27.3         28.0         32.5         46.5         46.8
         520         27.5         24.3         24.4         24.6         24.8         25.4         26.4         27.4         28.1         30.9         46.5         46.8
         540         27.6         24.4         24.5         24.7         24.9         25.5         26.6         27.6         28.4         30.1         46.7         47.0
         560         27.6         24.3         24.4         24.6         24.8         25.5         26.6         27.7         28.4         30.0         46.8         47.1
         580         27.6         24.3         24.4         24.6         24.9         25.5         26.7         27.9         28.6         29.6         46.9         47.2
         600         27.7         24.3         24.4         24.7         24.9         25.6         26.8         28.0         28.7         29.6         47.0         47.3
         620         27.8         24.4         24.5         24.7         25.0         25.6         26.8         28.1         28.9         29.8         47.2         47.5
         640         27.8         24.4         24.5         24.7         25.0         25.6         26.8         28.2         29.0         29.7         47.2         47.6
         660         27.8         24.4         24.5         24.7         24.9         25.7         26.9         28.3         29.0         29.7         47.4         47.7
         680         28.0         24.4         24.5         24.7         25.0         25.7         27.1         28.5         29.2         29.8         47.7         48.0
         700         28.0         24.4         24.5         24.7         25.0         25.8         27.2         28.6         29.3         29.9         47.8         48.2
         720         28.0         24.4         24.5         24.7         24.9         25.8         27.2         28.6         29.4         29.9         47.8         48.2
         740         28.0         24.3         24.4         24.6         24.9         25.7         27.2         28.6         29.4         30.0         47.8         48.1
         760         28.1         24.4         24.5         24.7         25.0         25.8         27.3         28.8         29.6         30.2         48.4         48.9
         780         28.3         24.4         24.5         24.7         25.0         25.9         27.5         29.0         29.9         30.7         48.8         49.2
         800         28.3         24.4         24.5         24.7         25.0         26.0         27.5         29.0         30.1         30.8         48.8         49.2
         820         28.3         24.3         24.4         24.7         25.0         25.9         27.5         29.1         30.4         30.9         49.0         49.3
         840         28.4         24.3         24.5         24.7         25.0         26.0         27.6         29.2         30.6         31.1         49.2         49.6
         860         28.5         24.4         24.5         24.7         25.1         26.1         27.6         29.2         30.7         31.2         49.4         49.8
         880         28.6         24.4         24.5         24.8         25.1         26.1         27.7         29.4         30.9         31.4         49.5         50.0
         900         28.8         24.4         24.6         24.8         25.1         26.2         28.0         29.6         31.1         31.6         49.7         50.2
         920         29.0         24.5         24.6         24.9         25.2         26.3         28.1         29.9         31.4         31.9         50.0         50.4
         940         28.8         24.4         24.5         24.8         25.1         26.2         28.1         30.0         31.4         31.9         50.0         50.4
         960         29.0         24.4         24.5         24.8         25.1         26.3         28.2         30.3         31.6         32.1         50.2         50.7
         980         29.1         24.5         24.7         24.9         25.3         26.4         28.3         30.4         31.7         32.2         50.5         51.0
        1000         29.0         24.4         24.5         24.8         25.2         26.4         28.3         30.4         31.7         32.2         50.4         50.8
