    SegSize        Avg
          0        45.20
         20        35.81        
         40        32.72 
         60        31.20 
         80        30.31 
        100        29.74 
        120        29.35 
        140        29.07 
        160        28.87 
        180        28.72 
        200        28.61 
        220        28.52 
        240        28.46 
        260        28.42 
        280        28.39 
        300        28.37 
        320        28.36 
        340        28.35 
        360        28.36 
        380        28.37 
        400        28.38 
        420        28.40 
        440        28.42 
        460        28.45 
        480        28.47 
        500        28.50 
        520        28.54 
        540        28.57 
        560        28.61 
        580        28.64 
        600        28.68 
        620        28.72 
        640        28.76 
        660        28.81 
        680        28.85 
        700        28.89 
        720        28.94 
        740        28.99 
        760        29.03 
        780        29.08 
        800        29.13 
        820        29.17 
        840        29.22 
        860        29.27 
        880        29.32 
        900        29.37 
        920        29.42 
        940        29.47 
        960        29.52 
        980        29.58 
       1000        29.63
