     Samples   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20            1          100           30           32        0.498        0.498        0.498        0.499        0.502        0.505        0.513        0.550        0.784        0.784        0.784
          20            1          104           30           32        0.478        0.478        0.484        0.486        0.489        0.492        0.498        0.587        0.596        0.596        0.596
          20            1          108           30           32        0.458        0.458        0.463        0.465        0.468        0.471        0.477        0.530        0.561        0.561        0.561
          20            1          112           30           32        0.452        0.452        0.453        0.453        0.457        0.460        0.464        0.467        0.543        0.543        0.543
          20            1          116           30           32        0.438        0.438        0.442        0.444        0.449        0.453        0.459        0.483        0.539        0.539        0.539
          20            1          121           30           32        0.439        0.439        0.441        0.443        0.445        0.452        0.457        0.476        0.525        0.525        0.525
          20            1          126           30           32        0.434        0.434        0.435        0.436        0.436        0.440        0.444        0.468        0.509        0.509        0.509
          20            1          131           30           32        0.422        0.422        0.423        0.423        0.427        0.430        0.440        0.452        0.508        0.508        0.508
          20            1          136           30           32        0.417        0.417        0.419        0.419        0.420        0.424        0.429        0.436        0.483        0.483        0.483
          20            1          141           30           32        0.422        0.422        0.425        0.426        0.431        0.436        0.441        0.442        0.491        0.491        0.491
          20            1          146           30           32        0.397        0.397        0.399        0.402        0.404        0.407        0.413        0.416        0.472        0.472        0.472
          20            1          152           30           32        0.398        0.398        0.399        0.400        0.402        0.411        0.419        0.481        3.401        3.401        3.401
          20            1          158           30           32        0.407        0.407        0.410        0.411        0.412        0.414        0.416        0.422        0.481        0.481        0.481
          20            1          164           30           32        0.399        0.399        0.399        0.404        0.407        0.410        0.415        0.422        0.470        0.470        0.470
          20            1          170           30           32        0.394        0.394        0.397        0.397        0.401        0.407        0.412        0.415        0.462        0.462        0.462
          20            1          177           30           32        0.388        0.388        0.390        0.390        0.393        0.396        0.401        0.421        0.447        0.447        0.447
          20            1          184           30           32        0.383        0.383        0.387        0.389        0.391        0.392        0.401        0.431        0.467        0.467        0.467
          20            1          191           30           32        0.376        0.376        0.378        0.379        0.380        0.386        0.388        0.407        0.450        0.450        0.450
          20            1          198           30           32        0.378        0.378        0.380        0.380        0.382        0.384        0.387        0.395        0.425        0.425        0.425
          20            1          205           30           32        0.373        0.373        0.374        0.375        0.377        0.379        0.382        0.410        0.446        0.446        0.446
          20            1          213           30           32        0.369        0.369        0.369        0.371        0.373        0.376        0.385        0.416        0.426        0.426        0.426
          20            1          221           30           32        0.373        0.373        0.373        0.374        0.377        0.378        0.382        0.401        0.451        0.451        0.451
          20            1          229           30           32        0.368        0.368        0.369        0.370        0.373        0.375        0.379        0.382        0.408        0.408        0.408
