     Samples   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20            1          100           30          100        0.539        0.539        0.539        0.539        0.543        0.548        0.564        0.840        2.065        2.065        2.065
          20            1          102           30          100        0.523        0.523        0.523        0.525        0.526        0.531        0.536        0.546        0.664        0.664        0.664
          20            1          104           30          100        0.512        0.512        0.513        0.513        0.518        0.521        0.521        0.535        0.558        0.558        0.558
          20            1          106           30          100        0.503        0.503        0.504        0.506        0.508        0.512        0.518        0.536        0.568        0.568        0.568
          20            1          108           30          100        0.494        0.494        0.495        0.495        0.498        0.502        0.510        0.525        0.553        0.553        0.553
          20            1          110           30          100        0.490        0.490        0.492        0.493        0.495        0.496        0.504        0.515        0.519        0.519        0.519
          20            1          112           30          100        0.487        0.487        0.490        0.490        0.495        0.498        0.503        0.517        0.563        0.563        0.563
          20            1          115           30          100        0.490        0.490        0.493        0.495        0.496        0.500        0.505        0.516        0.541        0.541        0.541
          20            1          118           30          100        0.480        0.480        0.481        0.482        0.485        0.488        0.498        0.522        0.559        0.559        0.559
          20            1          121           30          100        0.480        0.480        0.481        0.483        0.486        0.489        0.493        0.500        0.536        0.536        0.536
          20            1          124           30          100        0.469        0.469        0.474        0.475        0.476        0.481        0.484        0.487        0.522        0.522        0.522
          20            1          127           30          100        0.470        0.470        0.473        0.474        0.476        0.477        0.482        0.495        0.527        0.527        0.527
          20            1          130           30          100        0.464        0.464        0.465        0.465        0.468        0.469        0.475        0.481        0.530        0.530        0.530
          20            1          133           30          100        0.453        0.453        0.456        0.456        0.459        0.461        0.469        0.481        0.534        0.534        0.534
          20            1          136           30          100        0.451        0.451        0.452        0.453        0.456        0.459        0.464        0.472        0.499        0.499        0.499
          20            1          139           30          100        0.457        0.457        0.458        0.460        0.465        0.468        0.472        0.483        0.497        0.497        0.497
          20            1          142           30          100        0.455        0.455        0.455        0.459        0.462        0.464        0.468        0.472        0.501        0.501        0.501
          20            1          145           30          100        0.449        0.449        0.450        0.450        0.451        0.456        0.463        0.490        0.494        0.494        0.494
          20            1          148           30          100        0.442        0.442        0.443        0.443        0.446        0.449        0.452        0.454        0.489        0.489        0.489
          20            1          151           30          100        0.436        0.436        0.439        0.441        0.443        0.446        0.449        0.479        0.483        0.483        0.483
          20            1          155           30          100        0.445        0.445        0.447        0.448        0.449        0.455        0.459        0.469        0.474        0.474        0.474
          20            1          159           30          100        0.447        0.447        0.447        0.448        0.450        0.455        0.456        0.473        0.496        0.496        0.496
          20            1          163           30          100        0.438        0.438        0.439        0.439        0.443        0.448        0.451        0.471        0.473        0.473        0.473
          20            1          167           30          100        0.428        0.428        0.430        0.432        0.435        0.437        0.440        0.457        0.497        0.497        0.497
          20            1          171           30          100        0.426        0.426        0.428        0.429        0.432        0.434        0.438        0.460        0.471        0.471        0.471
          20            1          175           30          100        0.423        0.423        0.429        0.429        0.434        0.436        0.438        0.445        0.473        0.473        0.473
          20            1          179           30          100        0.422        0.422        0.422        0.423        0.425        0.428        0.433        0.439        0.462        0.462        0.462
          20            1          183           30          100        0.420        0.420        0.423        0.423        0.427        0.429        0.431        0.452        0.466        0.466        0.466
          20            1          187           30          100        0.417        0.417        0.418        0.419        0.422        0.426        0.428        0.439        0.447        0.447        0.447
          20            1          192           30          100        0.413        0.413        0.415        0.417        0.419        0.423        0.425        0.433        0.463        0.463        0.463
          20            1          197           30          100        0.408        0.408        0.409        0.412        0.414        0.416        0.421        0.429        0.448        0.448        0.448
          20            1          202           30          100        0.413        0.413        0.414        0.415        0.419        0.421        0.424        0.475        1.193        1.193        1.193
          20            1          207           30          100        0.407        0.407        0.407        0.408        0.412        0.413        0.417        0.432        0.452        0.452        0.452
          20            1          212           30          100        0.399        0.399        0.401        0.401        0.405        0.409        0.426        0.465        1.129        1.129        1.129
          20            1          217           30          100        0.409        0.409        0.411        0.411        0.412        0.414        0.418        0.440        1.209        1.209        1.209
          20            1          222           30          100        0.407        0.407        0.407        0.408        0.408        0.410        0.413        0.424        0.433        0.433        0.433
          20            1          227           30          100        0.396        0.396        0.396        0.398        0.400        0.401        0.406        0.412        0.440        0.440        0.440
          20            1          233           30          100        0.398        0.398        0.399        0.401        0.402        0.407        0.413        0.421        0.423        0.423        0.423
          20            1          239           30          100        0.392        0.392        0.393        0.395        0.398        0.399        0.401        0.411        0.413        0.413        0.413
          20            1          245           30          100        0.389        0.389        0.392        0.392        0.393        0.397        0.398        0.413        0.434        0.434        0.434
          20            1          251           30          100        0.386        0.386        0.392        0.392        0.392        0.396        0.401        0.416        0.440        0.440        0.440
          20            1          257           30          100        0.387        0.387        0.388        0.388        0.390        0.391        0.394        0.404        0.415        0.415        0.415
          20            1          263           30          100        0.390        0.390        0.390        0.391        0.391        0.392        0.396        0.398        0.409        0.409        0.409
          20            1          270           30          100        0.378        0.378        0.378        0.378        0.380        0.382        0.385        0.400        0.433        0.433        0.433
          20            1          277           30          100        0.379        0.379        0.385        0.386        0.387        0.390        0.395        0.405        0.417        0.417        0.417
          20            1          284           30          100        0.382        0.382        0.384        0.386        0.389        0.391        0.398        0.408        1.002        1.002        1.002
          20            1          291           30          100        0.377        0.377        0.379        0.379        0.383        0.385        0.393        0.399        0.408        0.408        0.408
          20            1          298           30          100        0.374        0.374        0.375        0.378        0.378        0.379        0.383        0.399        0.416        0.416        0.416
          20            1          306           30          100        0.376        0.376        0.377        0.377        0.378        0.381        0.384        0.401        0.403        0.403        0.403
          20            1          314           30          100        0.370        0.370        0.371        0.372        0.373        0.375        0.379        0.387        0.432        0.432        0.432
          20            1          322           30          100        0.372        0.372        0.375        0.377        0.379        0.382        0.385        0.391        0.404        0.404        0.404
          20            1          330           30          100        0.366        0.366        0.366        0.366        0.368        0.371        0.375        0.396        0.397        0.397        0.397
          20            1          338           30          100        0.375        0.375        0.375        0.376        0.377        0.381        0.385        0.391        0.399        0.399        0.399
          20            1          347           30          100        0.369        0.369        0.370        0.372        0.374        0.377        0.381        0.395        0.414        0.414        0.414
          20            1          356           30          100        0.369        0.369        0.370        0.372        0.373        0.376        0.383        0.391        0.408        0.408        0.408
          20            1          365           30          100        0.369        0.369        0.370        0.372        0.372        0.374        0.385        0.414        0.850        0.850        0.850
          20            1          374           30          100        0.365        0.365        0.366        0.369        0.371        0.376        0.384        0.411        1.166        1.166        1.166
          20            1          384           30          100        0.356        0.356        0.356        0.356        0.357        0.359        0.362        0.364        0.370        0.370        0.370
          20            1          394           30          100        0.358        0.358        0.360        0.360        0.361        0.363        0.369        0.381        0.382        0.382        0.382
          20            1          404           30          100        0.365        0.365        0.366        0.366        0.369        0.370        0.374        0.390        0.392        0.392        0.392
          20            1          414           30          100        0.357        0.357        0.357        0.359        0.360        0.363        0.370        0.374        0.381        0.381        0.381
          20            1          425           30          100        0.358        0.358        0.359        0.361        0.362        0.363        0.371        0.382        1.451        1.451        1.451
          20            1          436           30          100        0.355        0.355        0.356        0.357        0.360        0.361        0.365        0.385        0.385        0.385        0.385
          20            1          447           30          100        0.351        0.351        0.354        0.354        0.356        0.358        0.358        0.380        0.745        0.745        0.745
          20            1          459           30          100        0.355        0.355        0.358        0.358        0.360        0.361        0.365        0.381        0.386        0.386        0.386
          20            1          471           30          100        0.351        0.351        0.353        0.353        0.355        0.357        0.360        0.372        0.383        0.383        0.383
          20            1          483           30          100        0.348        0.348        0.350        0.351        0.353        0.360        0.364        0.381        1.295        1.295        1.295
          20            1          496           30          100        0.351        0.351        0.351        0.351        0.352        0.354        0.356        0.373        0.376        0.376        0.376
          20            1          509           30          100        0.345        0.345        0.347        0.347        0.350        0.352        0.356        0.369        1.239        1.239        1.239
          20            1          522           30          100        0.348        0.348        0.350        0.350        0.352        0.353        0.355        0.368        0.378        0.378        0.378
          20            1          536           30          100        0.345        0.345        0.345        0.347        0.350        0.353        0.360        0.374        0.909        0.909        0.909
          20            1          550           30          100        0.344        0.344        0.349        0.349        0.350        0.351        0.356        0.362        0.369        0.369        0.369
          20            1          564           30          100        0.345        0.345        0.346        0.346        0.347        0.348        0.360        0.372        0.888        0.888        0.888
          20            1          579           30          100        0.346        0.346        0.347        0.347        0.347        0.349        0.351        0.378        0.852        0.852        0.852
          20            1          594           30          100        0.345        0.345        0.346        0.347        0.349        0.351        0.354        0.366        0.583        0.583        0.583
          20            1          610           30          100        0.342        0.342        0.346        0.346        0.347        0.350        0.354        0.360        0.847        0.847        0.847
          20            1          626           30          100        0.341        0.341        0.341        0.343        0.344        0.346        0.354        0.363        0.834        0.834        0.834
          20            1          642           30          100        0.344        0.344        0.344        0.344        0.346        0.347        0.354        0.364        0.592        0.592        0.592
          20            1          659           30          100        0.337        0.337        0.338        0.338        0.340        0.342        0.345        0.360        0.371        0.371        0.371
          20            1          676           30          100        0.339        0.339        0.340        0.340        0.342        0.344        0.351        0.355        0.791        0.791        0.791
          20            1          694           30          100        0.340        0.340        0.341        0.341        0.343        0.345        0.350        0.357        0.782        0.782        0.782
          20            1          712           30          100        0.337        0.337        0.338        0.338        0.341        0.343        0.348        0.355        0.772        0.772        0.772
          20            1          731           30          100        0.339        0.339        0.341        0.342        0.343        0.348        0.352        0.586        0.764        0.764        0.764
          20            1          750           30          100        0.338        0.338        0.339        0.339        0.339        0.340        0.350        0.355        0.747        0.747        0.747
          20            1          770           30          100        0.338        0.338        0.338        0.338        0.341        0.343        0.347        0.358        0.740        0.740        0.740
          20            1          790           30          100        0.338        0.338        0.338        0.340        0.341        0.343        0.350        0.351        0.709        0.709        0.709
          20            1          811           30          100        0.333        0.333        0.333        0.333        0.335        0.338        0.339        0.353        0.720        0.720        0.720
          20            1          832           30          100        0.336        0.336        0.336        0.336        0.338        0.341        0.346        0.353        0.550        0.550        0.550
          20            1          854           30          100        0.335        0.335        0.336        0.336        0.338        0.340        0.344        0.701        0.871        0.871        0.871
          20            1          877           30          100        0.334        0.334        0.336        0.336        0.338        0.339        0.342        0.348        0.352        0.352        0.352
          20            1          900           30          100        0.334        0.334        0.335        0.335        0.336        0.337        0.340        0.347        0.670        0.670        0.670
          20            1          924           30          100        0.328        0.328        0.329        0.330        0.331        0.333        0.340        0.673        0.674        0.674        0.674
          20            1          948           30          100        0.334        0.334        0.335        0.335        0.337        0.338        0.341        0.346        0.348        0.348        0.348
          20            1          973           30          100        0.332        0.332        0.333        0.333        0.334        0.336        0.338        0.341        0.341        0.341        0.341
          20            1          999           30          100        0.330        0.330        0.331        0.331        0.332        0.333        0.335        0.337        0.342        0.342        0.342
          20            1         1025           30          100        0.327        0.327        0.329        0.330        0.332        0.334        0.336        0.337        0.341        0.341        0.341
          20            1         1052           30          100        0.326        0.326        0.327        0.327        0.328        0.330        0.336        0.339        0.344        0.344        0.344
          20            1         1080           30          100        0.327        0.327        0.328        0.328        0.329        0.331        0.332        0.336        0.339        0.339        0.339
          20            1         1109           30          100        0.324        0.324        0.326        0.327        0.328        0.329        0.332        0.464        0.477        0.477        0.477
          20            1         1138           30          100        0.327        0.327        0.332        0.332        0.333        0.334        0.335        0.343        0.348        0.348        0.348
          20            1         1168           30          100        0.327        0.327        0.327        0.328        0.328        0.329        0.332        0.334        0.335        0.335        0.335
          20            1         1199           30          100        0.324        0.324        0.329        0.330        0.331        0.333        0.334        0.337        0.341        0.341        0.341
          20            1         1231           30          100        0.328        0.328        0.328        0.329        0.329        0.330        0.332        0.335        0.337        0.337        0.337
          20            1         1264           30          100        0.329        0.329        0.330        0.330        0.331        0.333        0.336        0.344        0.471        0.471        0.471
          20            1         1298           30          100        0.328        0.328        0.329        0.329        0.330        0.331        0.333        0.339        0.343        0.343        0.343
          20            1         1333           30          100        0.320        0.320        0.325        0.326        0.327        0.328        0.329        0.332        0.336        0.336        0.336
          20            1         1368           30          100        0.324        0.324        0.325        0.326        0.327        0.328        0.330        0.335        0.461        0.461        0.461
          20            1         1404           30          100        0.321        0.321        0.325        0.325        0.326        0.327        0.327        0.330        0.337        0.337        0.337
          20            1         1441           30          100        0.321        0.321        0.324        0.326        0.327        0.328        0.329        0.333        0.334        0.334        0.334
          20            1         1479           30          100        0.316        0.316        0.324        0.324        0.326        0.328        0.330        0.335        0.447        0.447        0.447
          20            1         1518           30          100        0.323        0.323        0.323        0.323        0.325        0.327        0.330        0.334        0.335        0.335        0.335
          20            1         1558           30          100        0.320        0.320        0.328        0.328        0.329        0.330        0.333        0.336        0.341        0.341        0.341
          20            1         1600           30          100        0.315        0.315        0.326        0.327        0.329        0.330        0.332        0.437        0.441        0.441        0.441
          20            1         1643           30          100        0.323        0.323        0.327        0.327        0.328        0.328        0.329        0.332        0.334        0.334        0.334
          20            1         1687           30          100        0.316        0.316        0.325        0.325        0.325        0.326        0.328        0.330        0.338        0.338        0.338
          20            1         1732           30          100        0.322        0.322        0.326        0.327        0.327        0.329        0.330        0.332        0.340        0.340        0.340
          20            1         1778           30          100        0.319        0.319        0.328        0.329        0.329        0.330        0.332        0.336        0.339        0.339        0.339
          20            1         1825           30          100        0.315        0.315        0.320        0.321        0.323        0.323        0.326        0.334        0.418        0.418        0.418
          20            1         1874           30          100        0.318        0.318        0.326        0.326        0.328        0.329        0.330        0.333        0.338        0.338        0.338
          20            1         1924           30          100        0.319        0.319        0.326        0.326        0.327        0.328        0.331        0.333        0.337        0.337        0.337
          20            1         1975           30          100        0.317        0.317        0.320        0.321        0.321        0.323        0.326        0.328        0.333        0.333        0.333
          20            1         2028           30          100        0.319        0.319        0.322        0.322        0.323        0.324        0.326        0.328        0.330        0.330        0.330
          20            1         2082           30          100        0.317        0.317        0.326        0.326        0.326        0.327        0.328        0.330        0.340        0.340        0.340
          20            1         2138           30          100        0.312        0.312        0.319        0.319        0.321        0.322        0.325        0.328        0.331        0.331        0.331
          20            1         2195           30          100        0.317        0.317        0.318        0.320        0.321        0.322        0.324        0.327        0.331        0.331        0.331
          20            1         2254           30          100        0.316        0.316        0.317        0.320        0.320        0.322        0.324        0.333        0.394        0.394        0.394
          20            1         2314           30          100        0.314        0.314        0.317        0.319        0.320        0.322        0.324        0.327        0.332        0.332        0.332
          20            1         2376           30          100        0.311        0.311        0.318        0.319        0.320        0.322        0.324        0.328        0.331        0.331        0.331
          20            1         2440           30          100        0.316        0.316        0.320        0.321        0.322        0.323        0.325        0.327        0.334        0.334        0.334
          20            1         2505           30          100        0.315        0.315        0.325        0.325        0.326        0.326        0.328        0.329        0.330        0.330        0.330
          20            1         2572           30          100        0.320        0.320        0.321        0.322        0.323        0.324        0.325        0.373        0.384        0.384        0.384
          20            1         2641           30          100        0.310        0.310        0.322        0.322        0.323        0.324        0.325        0.327        0.331        0.331        0.331
          20            1         2712           30          100        0.307        0.307        0.317        0.317        0.317        0.318        0.319        0.320        0.320        0.320        0.320
          20            1         2785           30          100        0.312        0.312        0.319        0.320        0.321        0.322        0.326        0.382        0.383        0.383        0.383
          20            1         2860           30          100        0.311        0.311        0.320        0.321        0.322        0.323        0.324        0.325        0.327        0.327        0.327
          20            1         2937           30          100        0.314        0.314        0.323        0.324        0.325        0.326        0.327        0.328        0.329        0.329        0.329
          20            1         3016           30          100        0.313        0.313        0.319        0.320        0.321        0.323        0.324        0.325        0.330        0.330        0.330
          20            1         3097           30          100        0.312        0.312        0.323        0.323        0.324        0.325        0.326        0.327        0.331        0.331        0.331
          20            1         3180           30          100        0.312        0.312        0.319        0.319        0.321        0.322        0.323        0.371        0.372        0.372        0.372
          20            1         3265           30          100        0.311        0.311        0.317        0.317        0.319        0.321        0.323        0.326        0.326        0.326        0.326
          20            1         3353           30          100        0.312        0.312        0.323        0.324        0.324        0.325        0.326        0.329        0.330        0.330        0.330
          20            1         3443           30          100        0.311        0.311        0.319        0.319        0.320        0.321        0.323        0.327        0.332        0.332        0.332
          20            1         3535           30          100        0.324        0.324        0.325        0.325        0.326        0.327        0.328        0.361        0.378        0.378        0.378
          20            1         3630           30          100        0.317        0.317        0.317        0.318        0.319        0.320        0.324        0.357        0.366        0.366        0.366
          20            1         3727           30          100        0.313        0.313        0.325        0.326        0.326        0.327        0.330        0.369        0.372        0.372        0.372
          20            1         3827           30          100        0.311        0.311        0.321        0.321        0.322        0.322        0.324        0.326        0.329        0.329        0.329
          20            1         3930           30          100        0.310        0.310        0.318        0.318        0.319        0.319        0.320        0.323        0.325        0.325        0.325
          20            1         4036           30          100        0.312        0.312        0.322        0.323        0.324        0.325        0.326        0.367        0.372        0.372        0.372
