   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         17.8         17.8         17.8         17.9         17.9         17.9         18.0         18.1         18.3         18.4         18.5
           2         18.1         18.1         18.2         18.2         18.3         18.3         18.5         19.2         19.3         19.5         19.6
           3         18.6         18.7         18.7         18.7         18.8         18.8         18.9         19.1         19.4         19.6         19.7
           4         19.3         19.4         19.4         19.4         19.5         19.5         19.6         19.7         19.8         20.1         20.2
           5         19.6         19.6         19.6         19.7         19.8         19.8         20.0         20.2         20.3         20.4         20.6
           6         20.4         20.4         20.4         20.5         20.5         20.6         20.7         21.0         21.1         21.3         21.5
           7         21.3         21.4         21.4         21.5         21.5         21.6         21.7         21.8         22.0         22.1         22.4
           8         21.1         21.1         21.1         21.2         21.2         21.3         21.3         21.4         21.6         21.7         22.0
           9         21.3         21.3         21.3         21.3         21.4         21.5         21.5         21.7         21.9         22.2         22.6
          10         22.1         22.1         22.1         22.2         22.2         22.3         22.4         22.5         22.7         22.9         23.5
          11         22.9         22.9         23.0         23.1         23.2         23.3         23.5         23.7         23.9         24.2         25.8
          12         22.7         22.8         22.9         23.1         23.3         23.5         23.8         24.0         24.2         24.4         25.6
          13         24.0         24.0         24.1         24.2         24.4         24.6         24.9         25.2         25.7         26.2         27.6
          14         25.7         25.8         26.0         26.2         26.4         26.7         26.9         27.1         27.3         27.6         28.9
          15         26.9         27.1         27.2         27.3         27.5         27.8         28.0         28.4         29.1         29.4         30.9
          16         28.1         28.2         28.3         28.4         28.6         28.7         28.9         29.7         30.2         30.7         32.3
