   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        975.9        976.2        976.8        977.4        978.4        979.7        981.7        984.2        986.0        989.5       1099.9
           2        955.6        955.7        955.8        955.9        956.1        956.3        956.5        956.8        959.0        967.2        973.0
           3        952.7        952.8        952.9        953.0        953.2        953.4        953.6        953.9        954.5        958.2        960.2
           4        952.1        956.3        957.9        958.1        958.3        958.5        958.7        959.0        959.4        963.5        964.7
           5        947.8        957.6        962.0        962.8        966.5        967.6        969.6        972.0        979.2        982.1       1005.4
           6        930.7        936.5        946.3        946.8        948.5        950.8        966.1        968.5        970.2        971.4        986.2
           7        947.7        948.1        950.9        951.4        951.7        952.0        952.3        952.9        954.8        958.9        985.6
           8        937.1        940.3        943.7        944.1        944.5        945.0        945.6        947.3        950.5        958.8        991.0
           9        913.7        917.1        919.7        921.5        923.7        925.5        928.2        938.4        940.5        942.2        948.3
          10        919.3        922.5        925.7        926.7        927.7        930.0        932.3        934.2        935.6        939.5        959.1
          11        905.3        906.8        910.7        911.5        912.4        915.7        920.1        923.8        925.7        929.2        936.2
          12        915.0        917.2        922.6        925.5        928.7        932.0        937.4        945.4        948.3        951.1        964.4
          13        891.4        894.0        896.9        898.5        900.5        902.7        905.2        907.4        909.0        912.2        953.7
          14        926.4        929.1        933.3        935.1        937.6        940.4        942.6        945.3        946.7        951.7        985.0
          15        877.9        879.7        883.7        884.7        886.1        887.9        889.7        892.0        893.8        899.3        932.3
          16        900.9        904.1        909.8        912.2        918.5        922.5        926.1        929.1        930.7        933.7        960.1
          17        873.1        873.3        873.6        874.1        875.6        878.2        881.9        885.5        887.2        890.5        930.8
          18        877.6        878.0        878.5        878.9        879.6        880.8        882.7        883.8        885.7        890.7        916.2
          19        868.1        868.2        868.5        869.1        872.1        873.1        873.9        874.7        875.2        878.3        911.2
          20        871.5        871.8        872.0        872.1        872.5        873.3        874.0        875.9        876.9        879.4        897.7
          21        868.5        868.7        869.2        869.7        870.7        872.8        876.2        878.5        880.7        882.0        893.5
          22        880.1        880.8        881.8        883.1        884.6        887.0        890.2        893.4        895.2        899.1        929.4
          23        866.1        866.3        866.5        866.6        867.0        867.9        868.5        869.1        871.0        875.9        913.4
          24        869.7        869.9        870.8        871.4        872.0        872.9        873.7        874.5        874.9        878.9        928.4
          25        873.9        874.4        875.2        875.7        876.3        877.2        877.9        878.6        880.2        881.7        912.0
          26        877.6        877.8        878.0        878.2        878.7        879.7        880.3        881.1        881.9        883.7        897.4
          27        881.5        881.9        882.5        883.1        885.0        886.7        887.8        889.8        891.0        893.6        908.4
          28        880.9        881.2        881.9        882.9        884.6        886.6        889.8        891.2        894.4        898.6        923.7
          29        869.0        869.2        869.5        869.8        870.5        871.6        872.7        873.7        874.5        876.8        902.9
          30        870.5        870.7        870.9        871.0        871.3        871.8        872.7        873.7        874.6        876.6        886.2
          31        871.4        871.6        872.0        872.2        872.7        873.8        875.5        877.3        877.8        880.4        899.5
          32        870.2        870.3        870.5        870.8        871.7        872.3        873.2        873.9        874.6        876.3        892.6
