     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          10      1000000            4          100           30          100   547130.541   547130.541   547130.541   547301.180   547307.210   547693.326   548402.701   551421.245   551421.245   551421.245   551421.245
          10      1000000            4          111           30          100   519866.023   519866.023   519866.023   520006.425   520044.931   520337.131   520746.767   520963.750   520963.750   520963.750   520963.750
          10      1000000            4          123           30          100   497761.221   497761.221   497761.221   498165.741   498217.394   498331.121   498465.113   500974.234   500974.234   500974.234   500974.234
          10      1000000            4          137           30          100   457943.347   457943.347   457943.347   457958.700   458187.509   458430.798   458923.045   459147.546   459147.546   459147.546   459147.546
          10      1000000            4          152           30          100   454091.448   454091.448   454091.448   454307.886   454974.336   455630.296   455922.730   456408.612   456408.612   456408.612   456408.612
          10      1000000            4          169           30          100   448267.926   448267.926   448267.926   450011.066   450149.685   451684.156   451937.699   453756.033   453756.033   453756.033   453756.033
          10      1000000            4          188           30          100   412584.848   412584.848   412584.848   412661.111   413521.483   413894.779   414776.530   417279.467   417279.467   417279.467   417279.467
          10      1000000            4          209           30          100   397882.701   397882.701   397882.701   398177.812   398200.887   398808.473   399345.977   402761.201   402761.201   402761.201   402761.201
          10      1000000            4          232           30          100   409546.695   409546.695   409546.695   410447.466   412455.212   414472.989   416148.225   421258.693   421258.693   421258.693   421258.693
          10      1000000            4          258           30          100   417081.367   417081.367   417081.367   419152.238   419581.221   423241.862   426152.857   426572.793   426572.793   426572.793   426572.793
          10      1000000            4          287           30          100   396544.184   396544.184   396544.184   397429.100   398344.095   402882.168   403601.621   406481.422   406481.422   406481.422   406481.422
          10      1000000            4          319           30          100   399338.672   399338.672   399338.672   400153.999   400702.005   402338.428   405132.361   408536.704   408536.704   408536.704   408536.704
          10      1000000            4          355           30          100   399674.380   399674.380   399674.380   399960.011   400169.732   401040.472   402043.800   404650.592   404650.592   404650.592   404650.592
          10      1000000            4          395           30          100   400616.493   400616.493   400616.493   400843.405   403083.778   404640.903   408552.794   411098.721   411098.721   411098.721   411098.721
          10      1000000            4          440           30          100   411551.809   411551.809   411551.809   415985.845   417986.714   422285.524   424383.886   428559.951   428559.951   428559.951   428559.951
          10      1000000            4          490           30          100   415601.890   415601.890   415601.890   418530.433   419967.314   422690.291   424639.783   425563.856   425563.856   425563.856   425563.856
          10      1000000            4          545           30          100   396327.893   396327.893   396327.893   397408.945   398532.056   400058.954   402745.666   403424.004   403424.004   403424.004   403424.004
          10      1000000            4          607           30          100   395853.708   395853.708   395853.708   397834.705   399379.500   401949.428   406032.386   410727.539   410727.539   410727.539   410727.539
          10      1000000            4          676           30          100   402403.794   402403.794   402403.794   402419.771   402478.516   402606.582   403868.755   404166.597   404166.597   404166.597   404166.597
          10      1000000            4          753           30          100   392055.525   392055.525   392055.525   392097.894   392123.972   393050.704   393744.081   395834.129   395834.129   395834.129   395834.129
          10      1000000            4          838           30          100   402774.409   402774.409   402774.409   402851.821   402939.762   404070.437   404846.536   405379.367   405379.367   405379.367   405379.367
          10      1000000            4          933           30          100   401433.687   401433.687   401433.687   402689.415   403512.061   408697.568   411973.175   413305.163   413305.163   413305.163   413305.163
          10      1000000            4         1039           30          100   399286.205   399286.205   399286.205   399596.254   400260.904   405919.669   408140.083   409399.917   409399.917   409399.917   409399.917
          10      1000000            4         1157           30          100   388573.131   388573.131   388573.131   388766.767   388967.670   389396.103   389439.149   390065.303   390065.303   390065.303   390065.303
          10      1000000            4         1289           30          100   388259.027   388259.027   388259.027   388485.119   388901.909   389258.689   389762.726   389983.653   389983.653   389983.653   389983.653
          10      1000000            4         1436           30          100   402683.798   402683.798   402683.798   404479.261   404857.060   406229.136   407548.898   410886.278   410886.278   410886.278   410886.278
          10      1000000            4         1599           30          100   390839.173   390839.173   390839.173   390866.172   390914.039   391299.243   391468.877   391755.850   391755.850   391755.850   391755.850
          10      1000000            4         1781           30          100   388848.947   388848.947   388848.947   389263.089   390046.233   390709.104   391653.038   393389.023   393389.023   393389.023   393389.023
          10      1000000            4         1984           30          100   395081.440   395081.440   395081.440   395450.436   397877.856   398608.789   400322.465   400883.654   400883.654   400883.654   400883.654
          10      1000000            4         2210           30          100   409434.814   409434.814   409434.814   409547.111   410412.453   413365.431   415611.650   416532.551   416532.551   416532.551   416532.551
          10      1000000            4         2462           30          100   397960.018   397960.018   397960.018   398633.154   398881.439   400496.367   401462.182   402045.914   402045.914   402045.914   402045.914
          10      1000000            4         2743           30          100   383717.107   383717.107   383717.107   384061.746   384333.253   385510.197   385641.172   386172.658   386172.658   386172.658   386172.658
          10      1000000            4         3056           30          100   393527.990   393527.990   393527.990   393920.894   393934.047   394478.893   394596.718   407291.429   407291.429   407291.429   407291.429
          10      1000000            4         3404           30          100   397858.929   397858.929   397858.929   398649.070   398798.696   399267.792   399828.686   400062.190   400062.190   400062.190   400062.190
          10      1000000            4         3792           30          100   402620.034   402620.034   402620.034   403994.414   405930.133   408228.083   409226.733   411971.318   411971.318   411971.318   411971.318
          10      1000000            4         4225           30          100   383425.020   383425.020   383425.020   384075.488   384102.994   384363.166   384576.690   386125.216   386125.216   386125.216   386125.216
          10      1000000            4         4707           30          100   393157.958   393157.958   393157.958   393180.042   393221.643   393561.837   393635.551   394189.131   394189.131   394189.131   394189.131
          10      1000000            4         5244           30          100   391470.369   391470.369   391470.369   391728.267   391766.848   392255.924   392850.422   394128.202   394128.202   394128.202   394128.202
          10      1000000            4         5842           30          100   395643.442   395643.442   395643.442   395680.591   395987.723   396375.333   396470.895   396704.010   396704.010   396704.010   396704.010
          10      1000000            4         6509           30          100   384851.216   384851.216   384851.216   384888.363   385068.326   385229.228   385664.004   386064.857   386064.857   386064.857   386064.857
          10      1000000            4         7252           30          100   393022.523   393022.523   393022.523   393219.209   393502.385   393615.414   393988.804   394676.788   394676.788   394676.788   394676.788
          10      1000000            4         8080           30          100   394154.069   394154.069   394154.069   394913.803   395421.793   395743.655   395818.833   398675.301   398675.301   398675.301   398675.301
          10      1000000            4         9002           30          100   395882.530   395882.530   395882.530   396239.406   396386.836   396715.017   396794.896   397491.764   397491.764   397491.764   397491.764
          10      1000000            4        10029           30          100   385795.289   385795.289   385795.289   386154.938   386541.902   386725.608   387009.662   387371.419   387371.419   387371.419   387371.419
          10      1000000            4        11174           30          100   406000.744   406000.744   406000.744   406152.171   406554.564   406948.666   408055.353   408829.971   408829.971   408829.971   408829.971
          10      1000000            4        12449           30          100   397084.885   397084.885   397084.885   397526.478   397722.901   398046.534   398125.371   398812.863   398812.863   398812.863   398812.863
          10      1000000            4        13870           30          100   425391.553   425391.553   425391.553   425809.572   426199.106   426510.891   426906.172   427327.803   427327.803   427327.803   427327.803
          10      1000000            4        15453           30          100   418797.405   418797.405   418797.405   419130.994   419186.836   419855.747   419995.481   421393.342   421393.342   421393.342   421393.342
          10      1000000            4        17217           30          100   431374.959   431374.959   431374.959   431909.340   432083.281   432439.658   432540.995   432928.559   432928.559   432928.559   432928.559
          10      1000000            4        19183           30          100   446539.556   446539.556   446539.556   446649.703   446790.962   447666.968   448228.920   449169.631   449169.631   449169.631   449169.631
