     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            1          100           30         1000  1434289.958  1434289.958  1434564.543  1434653.563  1434918.906  1435280.228  1435369.033  1435645.438  1436092.467  1436092.467  1436092.467
          20      1000000            1          144           30         1000  1311451.067  1311451.067  1317463.667  1317611.464  1318396.597  1318935.231  1320939.015  1324469.106  1326429.840  1326429.840  1326429.840
          20      1000000            1          208           30         1000  1236945.155  1236945.155  1237956.607  1238455.049  1238659.872  1238860.579  1239018.013  1239144.115  1239360.335  1239360.335  1239360.335
          20      1000000            1          300           30         1000  1173679.457  1173679.457  1173707.319  1173816.769  1174241.024  1174505.484  1174937.221  1175118.705  1175579.000  1175579.000  1175579.000
          20      1000000            1          432           30         1000  1134697.979  1134697.979  1134781.162  1134920.603  1138480.360  1140075.018  1140306.326  1140938.269  1140966.590  1140966.590  1140966.590
          20      1000000            1          622           30         1000  1105473.451  1105473.451  1105620.744  1106038.694  1106297.416  1106498.723  1106700.183  1107977.690  1109000.679  1109000.679  1109000.679
          20      1000000            1          895           30         1000  1084419.820  1084419.820  1084516.096  1084666.155  1084845.208  1085291.577  1085863.778  1086175.284  1086735.259  1086735.259  1086735.259
          20      1000000            1         1288           30         1000  1068405.905  1068405.905  1068623.762  1068651.990  1068895.412  1068970.071  1069275.920  1069513.637  1069570.544  1069570.544  1069570.544
          20      1000000            1         1853           30         1000  1285540.832  1285540.832  1287084.161  1287213.853  1288924.787  1290158.811  1297925.966  1319294.202  1324601.902  1324601.902  1324601.902
          20      1000000            1         2666           30         1000  1052036.945  1052036.945  1052050.320  1052154.284  1052444.695  1052597.943  1052706.005  1054368.271  1055611.571  1055611.571  1055611.571
          20      1000000            1         3835           30         1000  1212475.168  1212475.168  1217308.573  1218240.562  1220954.467  1227169.787  1231963.254  1235097.258  1240527.698  1240527.698  1240527.698
          20      1000000            1         5517           30         1000  1210593.922  1210593.922  1212744.970  1221916.312  1227036.747  1234395.229  1244622.649  1250066.251  1252920.518  1252920.518  1252920.518
          20      1000000            1         7936           30         1000  1218406.345  1218406.345  1219128.261  1219644.327  1223883.332  1231327.184  1236752.181  1242494.693  1245808.386  1245808.386  1245808.386
          20      1000000            1        11416           30         1000  1235966.314  1235966.314  1240292.036  1241048.585  1246615.016  1249958.645  1255239.061  1262006.391  1265810.185  1265810.185  1265810.185
          20      1000000            1        16422           30         1000  1250393.494  1250393.494  1252345.231  1253238.456  1254948.172  1258400.557  1263620.466  1270728.459  1271423.796  1271423.796  1271423.796
          20      1000000            1        23623           30         1000  1246698.174  1246698.174  1253707.643  1256126.668  1258744.604  1262516.384  1266594.642  1269486.420  1269843.743  1269843.743  1269843.743
          20      1000000            1        33981           30         1000  1251744.579  1251744.579  1253987.367  1257777.865  1258977.854  1261844.819  1264183.563  1275139.511  1278981.096  1278981.096  1278981.096
          20      1000000            1        48880           30         1000  1258987.034  1258987.034  1261863.149  1264568.149  1265683.954  1268120.763  1270060.776  1271799.736  1273736.773  1273736.773  1273736.773
          20      1000000            1        70312           30         1000  1248734.201  1248734.201  1251705.788  1253496.619  1254463.401  1255814.423  1258940.539  1261513.225  1281062.932  1281062.932  1281062.932
          20      1000000            2          100           30         1000  1483526.104  1483526.104  1483723.899  1484009.777  1484598.787  1484716.297  1485222.172  1485503.056  1486350.485  1486350.485  1486350.485
          20      1000000            2          144           30         1000  1413090.449  1413090.449  1413426.145  1413784.697  1414028.651  1415167.478  1415845.813  1417516.162  1417672.358  1417672.358  1417672.358
          20      1000000            2          208           30         1000  1354854.853  1354854.853  1355342.737  1355352.871  1355664.270  1356089.554  1356892.421  1357370.319  1361489.626  1361489.626  1361489.626
          20      1000000            2          300           30         1000  1238865.156  1238865.156  1238990.265  1239056.352  1239140.953  1239510.487  1240026.666  1241177.710  1241321.591  1241321.591  1241321.591
          20      1000000            2          432           30         1000  1176540.770  1176540.770  1176669.871  1176770.672  1176842.217  1177090.938  1177921.365  1178037.630  1178688.079  1178688.079  1178688.079
          20      1000000            2          622           30         1000  1135702.516  1135702.516  1135812.827  1135831.585  1136173.640  1136390.182  1136524.456  1136600.084  1136722.944  1136722.944  1136722.944
          20      1000000            2          895           30         1000  1098936.665  1098936.665  1098994.783  1099104.961  1099227.202  1099418.187  1099542.833  1099644.709  1099982.355  1099982.355  1099982.355
          20      1000000            2         1288           30         1000  1075555.163  1075555.163  1075678.537  1075696.282  1075812.974  1075933.401  1076186.483  1076290.724  1076615.579  1076615.579  1076615.579
