     Samples   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100            4          100           30          100        0.477        0.478        0.478        0.480        0.484        0.487        0.493        0.506        0.922        2.692        3.208
         100            4          101           30          100        0.466        0.467        0.470        0.472        0.475        0.482        0.494        0.500        0.504        0.521        1.940
         100            4          102           30          100        0.466        0.467        0.467        0.469        0.471        0.481        0.486        0.492        0.494        0.548        0.599
         100            4          103           30          100        0.466        0.466        0.467        0.470        0.473        0.479        0.484        0.495        0.498        0.505        0.517
         100            4          104           30          100        0.462        0.463        0.463        0.465        0.468        0.473        0.477        0.482        0.489        0.601        1.781
         100            4          105           30          100        0.463        0.463        0.464        0.464        0.466        0.467        0.471        0.477        0.487        0.506        0.557
         100            4          106           30          100        0.468        0.469        0.470        0.471        0.474        0.480        0.483        0.490        0.494        0.532        0.541
         100            4          107           30          100        0.460        0.461        0.463        0.464        0.466        0.468        0.470        0.475        0.479        0.482        0.484
         100            4          108           30          100        0.461        0.462        0.462        0.463        0.465        0.466        0.471        0.476        0.478        0.495        0.556
         100            4          109           30          100        0.457        0.457        0.458        0.460        0.462        0.465        0.470        0.474        0.482        0.487        0.513
         100            4          110           30          100        0.459        0.461        0.461        0.463        0.464        0.468        0.472        0.475        0.479        0.495        0.502
         100            4          111           30          100        0.456        0.457        0.458        0.459        0.464        0.468        0.471        0.478        0.482        0.550        1.699
         100            4          112           30          100        0.458        0.458        0.459        0.461        0.462        0.465        0.468        0.472        0.477        0.504        1.757
         100            4          113           30          100        0.457        0.459        0.460        0.461        0.462        0.466        0.470        0.478        0.482        0.488        0.561
         100            4          114           30          100        0.453        0.454        0.455        0.456        0.458        0.462        0.464        0.471        0.473        0.478        0.537
         100            4          115           30          100        0.452        0.452        0.453        0.454        0.456        0.459        0.464        0.469        0.473        0.535        1.714
         100            4          116           30          100        0.448        0.450        0.450        0.451        0.452        0.456        0.460        0.463        0.467        0.479        0.480
         100            4          117           30          100        0.450        0.451        0.451        0.452        0.453        0.459        0.463        0.467        0.473        0.484        0.489
         100            4          118           30          100        0.446        0.446        0.447        0.448        0.449        0.452        0.455        0.462        0.462        0.503        1.481
         100            4          119           30          100        0.448        0.449        0.449        0.450        0.452        0.454        0.456        0.462        0.467        0.481        0.536
         100            4          120           30          100        0.445        0.445        0.446        0.446        0.449        0.451        0.455        0.458        0.468        0.481        1.501
         100            4          121           30          100        0.441        0.441        0.442        0.444        0.446        0.449        0.451        0.456        0.460        0.528        1.785
         100            4          122           30          100        0.443        0.443        0.444        0.445        0.447        0.450        0.454        0.458        0.462        0.493        0.532
         100            4          123           30          100        0.431        0.433        0.435        0.437        0.439        0.442        0.445        0.450        0.456        0.457        0.466
         100            4          124           30          100        0.433        0.434        0.434        0.435        0.437        0.439        0.445        0.448        0.452        0.509        1.371
         100            4          125           30          100        0.425        0.426        0.426        0.427        0.429        0.432        0.437        0.443        0.453        1.382        1.602
         100            4          126           30          100        0.425        0.426        0.427        0.428        0.431        0.434        0.437        0.441        0.451        0.515        1.446
         100            4          127           30          100        0.420        0.421        0.421        0.422        0.424        0.426        0.429        0.431        0.434        0.458        0.511
         100            4          128           30          100        0.411        0.412        0.413        0.415        0.418        0.421        0.426        0.431        0.436        0.500        0.517
         100            4          129           30          100        0.412        0.414        0.415        0.416        0.419        0.423        0.427        0.432        0.448        1.446        1.532
         100            4          130           30          100        0.406        0.407        0.408        0.408        0.412        0.414        0.419        0.422        0.434        0.444        1.703
         100            4          131           30          100        0.403        0.404        0.405        0.406        0.407        0.411        0.414        0.420        0.424        0.437        0.459
         100            4          132           30          100        0.399        0.400        0.401        0.402        0.406        0.409        0.413        0.415        0.422        0.433        0.449
         100            4          133           30          100        0.398        0.398        0.399        0.399        0.401        0.403        0.407        0.415        0.419        0.427        0.438
         100            4          134           30          100        0.392        0.393        0.393        0.394        0.396        0.397        0.400        0.410        0.421        0.447        1.625
         100            4          135           30          100        0.394        0.394        0.395        0.396        0.397        0.400        0.403        0.408        0.419        0.429        0.433
         100            4          136           30          100        0.392        0.393        0.394        0.394        0.397        0.399        0.401        0.407        0.414        0.417        0.421
         100            4          137           30          100        0.388        0.388        0.388        0.388        0.390        0.393        0.396        0.400        0.412        0.420        1.394
         100            4          138           30          100        0.386        0.386        0.387        0.387        0.389        0.391        0.393        0.399        0.411        0.443        1.437
         100            4          139           30          100        0.385        0.385        0.386        0.386        0.388        0.390        0.392        0.398        0.409        0.418        1.537
         100            4          140           30          100        0.388        0.389        0.390        0.390        0.392        0.394        0.396        0.403        0.416        1.209        2.241
         100            4          141           30          100        0.382        0.383        0.383        0.385        0.387        0.389        0.393        0.403        0.420        0.443        0.466
         100            4          142           30          100        0.384        0.384        0.384        0.385        0.386        0.388        0.390        0.393        0.402        0.412        1.413
         100            4          143           30          100        0.381        0.382        0.382        0.383        0.385        0.386        0.388        0.391        0.397        0.402        1.448
         100            4          144           30          100        0.382        0.382        0.384        0.384        0.387        0.389        0.390        0.393        0.402        0.460        1.429
         100            4          145           30          100        0.384        0.385        0.385        0.386        0.388        0.391        0.394        0.397        0.410        0.444        1.350
         100            4          146           30          100        0.379        0.380        0.380        0.382        0.384        0.385        0.388        0.392        0.395        0.434        1.337
         100            4          147           30          100        0.385        0.385        0.386        0.386        0.388        0.390        0.392        0.395        0.398        0.450        0.451
         100            4          148           30          100        0.387        0.388        0.390        0.391        0.393        0.396        0.398        0.401        0.408        0.419        0.438
         100            4          149           30          100        0.388        0.389        0.389        0.390        0.392        0.397        0.399        0.402        0.403        0.408        0.414
         100            4          150           30          100        0.382        0.383        0.384        0.384        0.386        0.389        0.394        0.397        0.402        1.263        1.320
         100            4          151           30          100        0.386        0.387        0.387        0.388        0.388        0.390        0.393        0.397        0.403        0.427        1.461
         100            4          152           30          100        0.391        0.392        0.393        0.394        0.396        0.399        0.401        0.403        0.404        0.412        0.476
         100            4          153           30          100        0.389        0.391        0.392        0.393        0.394        0.396        0.398        0.400        0.402        1.283        1.350
         100            4          154           30          100        0.387        0.388        0.389        0.389        0.392        0.394        0.396        0.402        0.404        0.426        0.449
         100            4          155           30          100        0.385        0.385        0.386        0.387        0.389        0.391        0.394        0.398        0.400        0.410        1.332
         100            4          156           30          100        0.392        0.394        0.396        0.397        0.399        0.401        0.402        0.404        0.407        0.429        0.456
         100            4          157           30          100        0.379        0.379        0.380        0.380        0.381        0.382        0.384        0.387        0.405        0.453        1.281
         100            4          158           30          100        0.380        0.380        0.380        0.381        0.382        0.384        0.385        0.388        0.397        0.405        1.363
         100            4          159           30          100        0.379        0.379        0.380        0.380        0.381        0.383        0.385        0.390        0.405        1.286        1.469
         100            4          160           30          100        0.377        0.377        0.378        0.378        0.380        0.382        0.384        0.386        0.399        1.097        1.203
         100            4          161           30          100        0.383        0.383        0.384        0.385        0.387        0.389        0.392        0.395        0.400        0.437        1.290
         100            4          162           30          100        0.373        0.375        0.375        0.376        0.377        0.379        0.380        0.389        0.398        0.431        1.203
         100            4          163           30          100        0.373        0.373        0.375        0.376        0.379        0.384        0.391        0.398        0.401        0.451        1.243
         100            4          164           30          100        0.367        0.367        0.368        0.369        0.370        0.373        0.375        0.378        0.382        0.388        0.435
         100            4          165           30          100        0.366        0.367        0.367        0.368        0.369        0.371        0.374        0.380        0.389        1.078        1.270
         100            4          166           30          100        0.364        0.364        0.365        0.366        0.368        0.370        0.372        0.382        0.385        1.093        1.259
         100            4          167           30          100        0.368        0.368        0.369        0.369        0.370        0.371        0.374        0.384        0.406        1.003        1.323
         100            4          168           30          100        0.363        0.364        0.365        0.366        0.367        0.368        0.372        0.381        0.431        1.226        1.997
         100            4          169           30          100        0.359        0.359        0.360        0.360        0.362        0.364        0.368        0.375        0.386        1.137        2.078
         100            4          170           30          100        0.365        0.366        0.366        0.367        0.368        0.371        0.374        0.383        0.394        1.212        1.262
         100            4          171           30          100        0.359        0.359        0.360        0.361        0.361        0.363        0.365        0.377        0.382        1.169        1.263
         100            4          172           30          100        0.361        0.361        0.362        0.363        0.364        0.365        0.368        0.376        0.390        0.419        0.968
         100            4          173           30          100        0.358        0.358        0.358        0.359        0.361        0.363        0.368        0.373        0.380        0.425        1.137
         100            4          174           30          100        0.361        0.362        0.363        0.364        0.365        0.367        0.369        0.373        0.381        1.176        1.209
         100            4          175           30          100        0.354        0.354        0.355        0.356        0.358        0.360        0.361        0.363        0.365        0.376        0.380
         100            4          176           30          100        0.352        0.352        0.352        0.353        0.355        0.357        0.359        0.363        0.373        0.384        0.388
         100            4          177           30          100        0.356        0.356        0.356        0.358        0.360        0.362        0.364        0.369        0.373        0.392        0.412
         100            4          178           30          100        0.348        0.349        0.349        0.350        0.352        0.354        0.358        0.364        0.376        2.011        2.818
         100            4          179           30          100        0.353        0.353        0.353        0.354        0.355        0.359        0.362        0.364        0.370        0.393        1.080
         100            4          180           30          100        0.351        0.351        0.351        0.352        0.354        0.358        0.362        0.369        0.379        1.078        1.172
         100            4          181           30          100        0.350        0.350        0.351        0.351        0.353        0.356        0.360        0.364        0.373        1.046        1.156
         100            4          182           30          100        0.347        0.348        0.348        0.350        0.352        0.353        0.358        0.360        0.363        0.402        1.079
         100            4          183           30          100        0.351        0.351        0.352        0.353        0.355        0.359        0.362        0.365        0.370        0.393        0.410
         100            4          184           30          100        0.350        0.350        0.350        0.351        0.353        0.355        0.359        0.364        0.369        0.380        1.197
         100            4          185           30          100        0.347        0.347        0.348        0.349        0.351        0.353        0.356        0.359        0.370        1.160        1.304
         100            4          186           30          100        0.350        0.350        0.351        0.352        0.354        0.355        0.357        0.360        0.371        0.393        1.154
         100            4          187           30          100        0.346        0.346        0.347        0.348        0.349        0.351        0.353        0.356        0.358        0.385        0.385
         100            4          188           30          100        0.348        0.349        0.350        0.350        0.352        0.354        0.355        0.360        0.366        0.969        1.046
         100            4          190           30          100        0.348        0.349        0.350        0.350        0.351        0.352        0.354        0.356        0.358        0.377        0.383
         100            4          192           30          100        0.342        0.342        0.343        0.344        0.346        0.347        0.349        0.351        0.355        0.365        0.418
         100            4          194           30          100        0.340        0.340        0.341        0.342        0.343        0.345        0.347        0.350        0.365        0.940        0.966
         100            4          196           30          100        0.344        0.345        0.346        0.346        0.347        0.348        0.350        0.354        0.374        0.835        1.048
         100            4          198           30          100        0.340        0.341        0.341        0.342        0.342        0.343        0.345        0.348        0.352        0.364        0.365
         100            4          200           30          100        0.345        0.345        0.346        0.347        0.348        0.349        0.350        0.353        0.354        0.371        0.384
         100            4          202           30          100        0.344        0.344        0.344        0.345        0.346        0.346        0.348        0.350        0.354        0.377        0.396
         100            4          204           30          100        0.340        0.340        0.341        0.342        0.343        0.344        0.345        0.348        0.349        0.368        0.388
         100            4          206           30          100        0.341        0.342        0.342        0.343        0.343        0.344        0.345        0.347        0.350        0.371        0.376
         100            4          208           30          100        0.332        0.332        0.333        0.334        0.335        0.336        0.338        0.340        0.355        1.037        1.119
         100            4          210           30          100        0.331        0.332        0.332        0.333        0.333        0.334        0.336        0.340        0.343        0.354        0.374
         100            4          212           30          100        0.332        0.332        0.332        0.333        0.334        0.335        0.336        0.338        0.345        0.920        1.731
         100            4          214           30          100        0.330        0.331        0.331        0.331        0.332        0.334        0.336        0.342        0.345        0.911        1.710
         100            4          216           30          100        0.336        0.336        0.336        0.337        0.338        0.339        0.340        0.344        0.361        0.868        1.482
         100            4          218           30          100        0.335        0.335        0.336        0.337        0.338        0.339        0.340        0.342        0.361        0.789        0.850
         100            4          220           30          100        0.332        0.332        0.333        0.333        0.334        0.335        0.337        0.340        0.343        0.373        0.901
         100            4          222           30          100        0.334        0.335        0.335        0.336        0.336        0.337        0.338        0.339        0.341        0.363        0.377
         100            4          224           30          100        0.326        0.326        0.327        0.327        0.328        0.329        0.331        0.334        0.336        0.349        0.351
         100            4          226           30          100        0.329        0.329        0.330        0.331        0.332        0.333        0.335        0.336        0.340        0.352        0.369
         100            4          228           30          100        0.336        0.336        0.337        0.337        0.338        0.339        0.341        0.345        0.369        0.967        1.018
         100            4          230           30          100        0.332        0.332        0.333        0.334        0.335        0.336        0.338        0.343        0.822        0.959        1.108
         100            4          232           30          100        0.340        0.340        0.341        0.341        0.343        0.344        0.346        0.348        0.389        0.887        0.959
         100            4          234           30          100        0.339        0.339        0.340        0.340        0.342        0.343        0.345        0.347        0.364        0.839        0.965
         100            4          236           30          100        0.337        0.337        0.338        0.339        0.340        0.341        0.342        0.348        0.838        0.998        1.424
         100            4          238           30          100        0.336        0.336        0.337        0.337        0.338        0.339        0.341        0.344        0.351        0.363        1.052
         100            4          240           30          100        0.333        0.333        0.333        0.334        0.334        0.335        0.336        0.338        0.350        0.373        0.937
         100            4          242           30          100        0.335        0.335        0.335        0.335        0.336        0.338        0.340        0.343        0.356        0.896        1.538
         100            4          244           30          100        0.347        0.348        0.348        0.349        0.351        0.353        0.356        0.361        0.891        0.944        1.315
         100            4          246           30          100        0.341        0.341        0.342        0.343        0.345        0.348        0.351        0.354        0.359        0.816        0.915
         100            4          248           30          100        0.348        0.348        0.351        0.352        0.355        0.357        0.358        0.364        0.376        0.852        0.893
         100            4          250           30          100        0.354        0.354        0.355        0.355        0.356        0.358        0.359        0.363        0.380        0.961        1.481
         100            4          252           30          100        0.349        0.349        0.350        0.350        0.352        0.355        0.357        0.359        0.399        0.887        0.951
         100            4          254           30          100        0.354        0.354        0.354        0.355        0.356        0.358        0.359        0.361        0.367        0.382        0.681
         100            4          256           30          100        0.342        0.342        0.343        0.345        0.346        0.348        0.349        0.352        0.355        0.369        0.377
         100            4          258           30          100        0.342        0.342        0.343        0.343        0.345        0.348        0.350        0.352        0.353        0.777        1.035
         100            4          260           30          100        0.345        0.345        0.345        0.347        0.348        0.350        0.351        0.354        0.369        0.861        0.970
         100            4          262           30          100        0.342        0.342        0.343        0.344        0.345        0.366        0.371        0.374        0.377        0.409        0.876
         100            4          264           30          100        0.346        0.346        0.346        0.347        0.349        0.352        0.355        0.358        0.378        0.898        1.426
         100            4          266           30          100        0.346        0.347        0.347        0.349        0.350        0.351        0.352        0.356        0.369        0.860        1.479
         100            4          268           30          100        0.342        0.342        0.343        0.344        0.345        0.347        0.349        0.353        0.364        0.873        1.952
         100            4          270           30          100        0.344        0.344        0.344        0.345        0.346        0.347        0.351        0.353        0.363        0.772        0.924
         100            4          272           30          100        0.336        0.336        0.337        0.337        0.339        0.341        0.342        0.346        0.359        0.884        1.900
         100            4          274           30          100        0.336        0.337        0.337        0.338        0.339        0.340        0.342        0.343        0.347        0.829        0.868
         100            4          276           30          100        0.338        0.338        0.339        0.340        0.342        0.366        0.370        0.372        0.375        0.838        0.843
         100            4          278           30          100        0.337        0.337        0.338        0.338        0.339        0.340        0.345        0.368        0.711        0.920        1.412
         100            4          280           30          100        0.347        0.347        0.347        0.348        0.349        0.350        0.351        0.353        0.367        0.692        0.811
         100            4          282           30          100        0.347        0.348        0.348        0.348        0.349        0.350        0.351        0.356        0.746        1.151        1.275
         100            4          285           30          100        0.338        0.339        0.339        0.340        0.341        0.341        0.343        0.344        0.355        0.821        0.960
         100            4          288           30          100        0.342        0.342        0.361        0.363        0.364        0.366        0.367        0.369        0.371        0.377        0.822
         100            4          291           30          100        0.368        0.368        0.369        0.369        0.371        0.372        0.374        0.375        0.387        0.797        0.813
         100            4          294           30          100        0.337        0.337        0.338        0.338        0.338        0.339        0.341        0.346        0.371        0.891        1.240
         100            4          297           30          100        0.339        0.339        0.339        0.340        0.340        0.341        0.342        0.344        0.359        0.783        0.810
         100            4          300           30          100        0.342        0.342        0.342        0.343        0.344        0.344        0.345        0.347        0.358        0.608        0.710
         100            4          303           30          100        0.338        0.338        0.338        0.339        0.340        0.340        0.341        0.350        0.649        0.918        1.157
         100            4          306           30          100        0.342        0.342        0.343        0.343        0.343        0.344        0.346        0.348        0.360        0.570        0.686
         100            4          309           30          100        0.350        0.350        0.350        0.351        0.352        0.352        0.354        0.357        0.367        0.380        0.865
         100            4          312           30          100        0.348        0.348        0.348        0.349        0.349        0.350        0.351        0.353        0.359        0.368        0.855
         100            4          315           30          100        0.344        0.345        0.345        0.345        0.346        0.347        0.348        0.350        0.358        0.604        0.695
         100            4          318           30          100        0.345        0.345        0.346        0.346        0.347        0.348        0.349        0.354        0.364        0.789        0.854
         100            4          321           30          100        0.349        0.350        0.350        0.350        0.351        0.352        0.354        0.358        0.383        0.739        0.835
         100            4          324           30          100        0.352        0.352        0.353        0.353        0.355        0.375        0.379        0.381        0.579        0.749        1.289
         100            4          327           30          100        0.354        0.355        0.355        0.356        0.357        0.357        0.359        0.363        0.389        0.781        1.109
         100            4          330           30          100        0.352        0.352        0.353        0.353        0.354        0.355        0.357        0.361        0.368        0.665        0.693
         100            4          333           30          100        0.343        0.343        0.344        0.344        0.345        0.348        0.372        0.374        0.700        0.774        0.997
         100            4          336           30          100        0.342        0.343        0.343        0.344        0.345        0.346        0.347        0.353        0.635        0.775        0.815
         100            4          339           30          100        0.350        0.351        0.351        0.351        0.352        0.353        0.354        0.355        0.358        0.371        0.380
         100            4          342           30          100        0.340        0.340        0.340        0.341        0.342        0.344        0.367        0.370        0.373        0.764        0.771
         100            4          345           30          100        0.339        0.339        0.339        0.339        0.340        0.341        0.344        0.369        0.582        0.704        0.718
         100            4          348           30          100        0.348        0.349        0.349        0.349        0.350        0.351        0.352        0.355        0.365        0.752        0.772
         100            4          351           30          100        0.348        0.349        0.362        0.363        0.365        0.366        0.367        0.369        0.381        0.722        1.196
         100            4          354           30          100        0.337        0.338        0.339        0.339        0.339        0.340        0.342        0.344        0.354        0.534        0.751
         100            4          357           30          100        0.346        0.346        0.347        0.347        0.348        0.349        0.351        0.356        0.688        1.079        1.098
         100            4          360           30          100        0.348        0.348        0.349        0.349        0.350        0.351        0.353        0.362        0.647        1.040        1.138
         100            4          363           30          100        0.342        0.343        0.343        0.343        0.344        0.345        0.346        0.349        0.358        0.673        0.742
         100            4          366           30          100        0.347        0.347        0.348        0.348        0.349        0.351        0.353        0.363        0.709        0.944        1.019
         100            4          369           30          100        0.348        0.348        0.349        0.349        0.350        0.351        0.352        0.356        0.379        0.667        0.730
         100            4          372           30          100        0.338        0.338        0.339        0.339        0.340        0.341        0.342        0.344        0.350        0.687        0.905
         100            4          375           30          100        0.345        0.346        0.346        0.346        0.348        0.349        0.351        0.359        0.548        0.965        1.043
         100            4          379           30          100        0.335        0.335        0.335        0.336        0.337        0.338        0.339        0.341        0.360        0.633        0.637
         100            4          383           30          100        0.334        0.334        0.335        0.335        0.336        0.337        0.338        0.340        0.348        0.519        0.591
         100            4          387           30          100        0.344        0.344        0.344        0.345        0.346        0.347        0.352        0.553        0.626        1.454        1.857
         100            4          391           30          100        0.343        0.343        0.344        0.344        0.345        0.349        0.371        0.376        0.930        1.417        1.479
