   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100          6.2          6.3          6.3          6.3          6.4          6.4          6.5          6.5          6.8          6.9          7.0
         126          6.3          6.3          6.3          6.4          6.4          6.5          6.5          6.6          6.8          6.9          7.0
         159          6.3          6.4          6.4          6.4          6.4          6.5          6.6          6.6          6.9          7.0          7.0
         201          6.5          6.5          6.5          6.5          6.6          6.6          6.7          6.7          7.0          7.1          7.1
         255          6.6          6.6          6.7          6.7          6.7          6.7          6.7          6.8          7.1          7.2          7.2
         323          6.7          6.8          6.8          6.8          6.8          6.9          6.9          7.0          7.3          7.4          7.4
         409          6.9          7.0          7.0          7.0          7.0          7.1          7.1          7.2          7.5          7.6          7.6
         519          7.0          7.0          7.1          7.1          7.1          7.2          7.2          7.3          7.6          7.7          7.7
         658          7.3          7.3          7.3          7.4          7.4          7.5          7.6          7.6          7.9          8.0          8.0
         834          7.7          7.8          7.8          7.8          7.9          7.9          8.0          8.0          8.3          8.4          8.5
        1058          8.1          8.2          8.2          8.2          8.3          8.3          8.4          8.5          8.7          8.8          8.9
        1342          8.8          8.8          8.9          8.9          8.9          9.0          9.0          9.1          9.3          9.4          9.5
        1702          9.3          9.4          9.4          9.4          9.4          9.5          9.5          9.6          9.9          9.9         10.0
        2159          9.5          9.5          9.5          9.6          9.6          9.7          9.7          9.8         10.0         10.1         10.2
        2739         10.1         10.1         10.2         10.2         10.2         10.3         10.4         10.5         10.7         10.8         10.8
        3475         10.7         10.8         10.8         10.8         10.8         10.9         10.9         11.1         11.2         11.3         11.4
        4409         11.8         11.8         11.9         11.9         12.0         12.0         12.1         12.2         12.3         12.4         12.5
        5594         12.7         12.7         12.7         12.7         12.7         12.8         12.8         12.9         12.9         13.2         13.2
        7098         13.9         13.9         13.9         14.0         14.0         14.1         14.1         14.2         14.4         14.5         14.6
        9007         15.6         15.6         15.7         15.7         15.7         15.7         15.8         15.9         16.1         16.2         16.3
       11429         17.6         17.6         17.6         17.7         17.7         17.8         18.0         18.1         18.2         18.4         18.5
       14502         20.4         20.5         20.5         20.5         20.6         20.7         20.8         21.0         21.2         21.3         21.5
       18402         23.6         23.6         23.6         23.6         23.7         23.8         24.0         24.2         24.3         24.4         24.7
       23351         27.9         27.9         28.0         28.0         28.1         28.3         28.4         28.6         28.7         28.9         29.2
       29631         33.7         33.7         33.8         33.9         34.0         34.2         34.4         34.6         34.8         35.0         35.8
       37600         40.6         40.7         40.8         40.8         41.0         41.2         41.4         41.6         41.8         42.1         43.3
       47712         49.0         49.0         49.1         49.1         49.2         49.4         49.7         49.9         50.2         50.6         52.3
       60544         60.2         60.3         60.3         60.4         60.5         60.7         60.9         61.2         61.4         62.2         63.7
       76827         74.2         74.3         74.4         74.5         74.7         74.9         75.2         75.5         75.8         76.9         78.6
       97490         92.2         92.3         92.4         92.5         92.8         93.0         93.3         93.6         93.9         95.6         97.4
